,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
822,Samuel Edozie,eng ENG,"FW,MF",Southampton,eng Premier League,19,2003,17,5,567,6.3,0.00,0.00,0.00,0.00,0,0,0,0
823,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,25,1996,31,27,"2,451",27.2,0.04,0.07,0.11,0.04,0,0,6,0
824,Lilian Egloff,de GER,"MF,FW",Stuttgart,de Bundesliga,19,2002,10,2,241,2.7,0.00,0.00,0.00,0.00,0,0,1,0
825,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,30,1992,25,10,967,10.7,0.09,0.09,0.19,0.09,0,0,6,0
826,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27,1995,27,16,"1,535",17.1,0.12,0.00,0.12,0.12,0,0,7,0
827,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27,1995,1,1,61,0.7,0.00,0.00,0.00,0.00,0,0,0,0
828,Julian Eitschberger,de GER,FW,Hertha BSC,de Bundesliga,18,2004,1,0,1,0.0,0.00,0.00,0.00,0.00,0,0,0,0
829,Chidera Ejuke,ng NGA,"FW,MF",Hertha BSC,de Bundesliga,24,1998,20,9,890,9.9,0.00,0.30,0.30,0.00,0,0,0,0
830,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33,1989,31,18,"1,734",19.3,0.00,0.10,0.10,0.00,0,0,6,1
831,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20,2002,25,12,"1,155",12.8,0.23,0.31,0.55,0.23,0,0,0,0
832,Emmanuel Ekong,se SWE,"FW,MF",Empoli,it Serie A,20,2002,2,0,20,0.2,0.00,0.00,0.00,0.00,0,0,0,0
833,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20,2002,16,5,426,4.7,0.00,0.21,0.21,0.00,0,0,0,0
834,Alberth Elis,hn HON,"MF,FW",Brest,fr Ligue 1,26,1996,10,2,257,2.9,0.00,0.00,0.00,0.00,0,0,0,0
835,Mikael Ellertsson,is ISL,"MF,DF",Spezia,it Serie A,20,2002,11,1,171,1.9,0.00,0.00,0.00,0.00,0,0,3,0
836,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,19,2003,32,18,"1,613",17.9,0.06,0.11,0.17,0.06,0,0,2,0
837,Elif Elmas,mk MKD,"FW,MF",Napoli,it Serie A,22,1999,36,14,"1,627",18.1,0.33,0.17,0.50,0.28,1,1,5,0
838,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30,1992,5,1,113,1.3,0.00,0.00,0.00,0.00,0,0,0,0
839,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28,1994,25,16,"1,449",16.1,0.00,0.06,0.06,0.00,0,0,5,1
840,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,25,1996,32,32,"2,826",31.4,0.10,0.00,0.10,0.10,0,0,2,0
841,Rodrigo Ely,br BRA,DF,Almería,es La Liga,28,1993,36,36,"3,155",35.1,0.00,0.03,0.03,0.00,0,0,10,1
842,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,eng Premier League,27,1994,33,27,"2,168",24.1,0.04,0.04,0.08,0.04,0,0,4,0
843,Adri Embarba,es ESP,"FW,MF",Almería,es La Liga,30,1992,29,18,"1,472",16.4,0.24,0.18,0.43,0.18,1,1,5,1
844,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30,1992,1,0,35,0.4,0.00,0.00,0.00,0.00,0,0,0,0
845,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,25,1997,32,19,"1,859",20.7,0.58,0.10,0.68,0.58,0,1,3,0
846,Emerson,br BRA,DF,Tottenham,eng Premier League,23,1999,26,20,"1,735",19.3,0.10,0.05,0.16,0.10,0,0,2,1
847,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25,1997,31,17,"1,661",18.5,0.43,0.05,0.49,0.43,0,0,4,0
848,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,29,1993,33,33,"2,922",32.5,0.15,0.12,0.28,0.15,0,0,3,0
849,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,18,2003,18,18,"1,440",16.0,0.00,0.19,0.19,0.00,0,0,5,0
850,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,30,1992,28,25,"2,048",22.8,0.04,0.35,0.40,0.04,0,0,3,0
851,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,24,1998,28,26,"2,330",25.9,0.00,0.00,0.00,0.00,0,0,2,0
852,Tjark Ernst,de GER,GK,Hertha BSC,de Bundesliga,19,2003,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
853,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29,1993,9,7,555,6.2,0.00,0.16,0.16,0.00,0,0,0,1
854,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29,1993,14,13,"1,121",12.5,0.32,0.08,0.40,0.32,0,0,4,0
855,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,32,1989,23,17,"1,439",16.0,0.06,0.00,0.06,0.06,0,0,3,0
856,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,30,1992,36,35,"3,122",34.7,0.00,0.12,0.12,0.00,0,0,7,0
857,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33,1989,20,14,"1,225",13.6,0.07,0.07,0.15,0.07,0,0,5,0
858,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,21,2000,15,10,971,10.8,0.09,0.00,0.09,0.09,0,0,5,1
859,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20,2002,23,18,"1,646",18.3,0.00,0.00,0.00,0.00,0,0,3,0
860,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,24,1998,35,31,"2,675",29.7,0.03,0.17,0.20,0.03,0,0,4,0
861,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,34,1988,13,12,"1,051",11.7,0.00,0.00,0.00,0.00,0,0,1,0
862,Edu Expósito,es ESP,MF,Espanyol,es La Liga,25,1996,28,13,"1,160",12.9,0.16,0.16,0.31,0.16,0,0,3,1
863,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,eng Premier League,24,1998,38,30,"2,636",29.3,0.34,0.14,0.48,0.31,1,1,3,0
864,Kimberly Ezekwem,de GER,DF,Freiburg,de Bundesliga,21,2001,1,0,8,0.1,0.00,0.00,0.00,0.00,0,0,0,0
865,Nicolás Ezequiel Fernández,ar ARG,"MF,DF",Elche,es La Liga,22,2000,18,3,514,5.7,0.00,0.18,0.18,0.00,0,0,2,0
866,Abdessamad Ezzalzouli,ma MAR,"FW,MF",Osasuna,es La Liga,20,2001,28,19,"1,504",16.7,0.24,0.12,0.36,0.24,0,0,4,2
867,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37,1985,36,36,"3,111",34.6,0.00,0.00,0.00,0.00,0,0,1,0
868,Fabinho,br BRA,MF,Liverpool,eng Premier League,28,1993,36,31,"2,671",29.7,0.00,0.07,0.07,0.00,0,0,11,0
869,Fábio,br BRA,"DF,MF",Nantes,fr Ligue 1,32,1990,6,3,224,2.5,0.00,0.00,0.00,0.00,0,0,1,1
870,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,22,1999,21,16,"1,308",14.5,0.07,0.00,0.07,0.07,0,0,2,0
871,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24,1998,31,31,"2,786",31.0,0.03,0.06,0.10,0.03,0,0,6,1
872,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24,1998,3,3,270,3.0,0.00,0.00,0.00,0.00,0,0,2,0
873,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,21,2001,26,17,"1,520",16.9,0.18,0.18,0.36,0.18,0,0,3,0
874,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,33,1988,12,12,"1,025",11.4,0.00,0.00,0.00,0.00,0,0,0,0
875,Romain Faivre,fr FRA,"MF,FW",Lorient,fr Ligue 1,24,1998,16,14,"1,246",13.8,0.36,0.22,0.58,0.36,0,0,0,0
876,Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24,1998,10,3,300,3.3,0.00,0.30,0.30,0.00,0,0,0,0
877,Radamel Falcao,co COL,"FW,MF",Rayo Vallecano,es La Liga,36,1986,27,3,616,6.8,0.29,0.00,0.29,0.15,1,1,4,0
878,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27,1995,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0,0,2,0
879,Fali,es ESP,"DF,MF",Cádiz,es La Liga,28,1993,25,22,"1,714",19.0,0.00,0.00,0.00,0.00,0,0,6,0
880,Fallou Fall,sn SEN,DF,Reims,fr Ligue 1,18,2004,1,0,32,0.4,0.00,0.00,0.00,0.00,0,0,1,0
881,Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,19,2002,1,0,30,0.3,0.00,0.00,0.00,0.00,0,0,0,0
882,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,30,1991,23,19,"1,485",16.5,0.12,0.18,0.30,0.12,0,0,7,0
883,Ansu Fati,es ESP,FW,Barcelona,es La Liga,19,2002,36,12,"1,393",15.5,0.45,0.19,0.65,0.45,0,0,3,0
884,Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18,2004,24,7,718,8.0,0.00,0.25,0.25,0.00,0,0,1,1
885,Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,23,1999,2,0,37,0.4,0.00,0.00,0.00,0.00,0,0,0,0
886,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35,1987,14,12,"1,074",11.9,0.08,0.00,0.08,0.08,0,0,2,1
887,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,19,2003,21,8,825,9.2,0.00,0.00,0.00,0.00,0,0,4,0
888,Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,33,1989,8,4,375,4.2,0.00,0.00,0.00,0.00,0,0,1,0
889,Nabil Fekir,fr FRA,MF,Betis,es La Liga,29,1993,15,12,961,10.7,0.19,0.19,0.37,0.09,1,1,4,1
890,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33,1989,16,15,"1,418",15.8,0.00,0.06,0.06,0.00,0,0,4,0
891,Felipe,br BRA,DF,Atlético Madrid,es La Liga,33,1989,3,2,194,2.2,0.00,0.00,0.00,0.00,0,0,0,0
892,Luiz Felipe,it ITA,DF,Betis,es La Liga,25,1997,23,22,"1,763",19.6,0.00,0.00,0.00,0.00,0,0,3,3
893,João Félix,pt POR,"FW,MF",Chelsea,eng Premier League,22,1999,16,11,941,10.5,0.38,0.00,0.38,0.38,0,0,1,1
894,João Félix,pt POR,"FW,MF",Atlético Madrid,es La Liga,22,1999,14,7,650,7.2,0.55,0.42,0.97,0.55,0,0,5,0
895,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,24,1997,19,16,"1,450",16.1,0.00,0.06,0.06,0.00,0,0,3,1
896,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,31,1991,20,13,"1,133",12.6,0.00,0.00,0.00,0.00,0,0,0,0
897,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,17,2004,19,10,950,10.6,0.57,0.19,0.76,0.57,0,0,1,0
898,Lewis Ferguson,sct SCO,"MF,FW",Bologna,it Serie A,22,1999,32,27,"2,314",25.7,0.27,0.00,0.27,0.27,0,0,4,0
899,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,eng Premier League,27,1994,37,37,"3,316",36.8,0.22,0.22,0.43,0.16,2,2,6,0
900,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26,1996,32,28,"2,437",27.1,0.00,0.11,0.11,0.00,0,0,4,0
901,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31,1991,21,21,"1,890",21.0,0.00,0.00,0.00,0.00,0,0,1,0
902,Álex Fernández,es ESP,"MF,FW",Cádiz,es La Liga,29,1992,28,17,"1,576",17.5,0.17,0.00,0.17,0.11,1,1,0,0
903,Álvaro Fernández,es ESP,GK,Espanyol,es La Liga,24,1998,11,11,990,11.0,0.00,0.00,0.00,0.00,0,0,1,0
904,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26,1996,24,8,631,7.0,0.14,0.00,0.14,0.14,0,0,6,0
905,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,21,2001,18,18,"1,547",17.2,0.00,0.12,0.12,0.00,0,0,3,0
906,Federico Fernández,ar ARG,DF,Elche,es La Liga,33,1989,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
907,Joaquín Fernández,es ESP,DF,Valladolid,es La Liga,26,1996,27,24,"2,156",24.0,0.04,0.00,0.04,0.04,0,0,4,0
908,Fernando,es ESP,GK,Almería,es La Liga,32,1990,37,37,"3,285",36.5,0.00,0.00,0.00,0.00,0,0,3,0
909,Fernando,br BRA,"MF,DF",Sevilla,es La Liga,35,1987,22,19,"1,577",17.5,0.00,0.06,0.06,0.00,0,0,3,1
910,Alex Ferrari,it ITA,DF,Sampdoria,it Serie A,28,1994,12,10,868,9.6,0.00,0.00,0.00,0.00,0,0,3,0
911,Alex Ferrari,it ITA,DF,Cremonese,it Serie A,28,1994,16,13,"1,007",11.2,0.00,0.00,0.00,0.00,0,0,3,0
912,Salvador Ferrer,es ESP,DF,Spezia,it Serie A,24,1998,5,0,136,1.5,0.00,0.00,0.00,0.00,0,0,0,0
913,Jordan Ferri,fr FRA,MF,Montpellier,fr Ligue 1,30,1992,34,32,"2,738",30.4,0.03,0.07,0.10,0.03,0,0,7,1
914,Fidel,es ESP,"MF,FW",Elche,es La Liga,32,1989,27,21,"1,714",19.0,0.16,0.11,0.26,0.11,1,1,5,0
915,Karol Fila,pl POL,DF,Strasbourg,fr Ligue 1,24,1998,2,0,47,0.5,0.00,0.00,0.00,0.00,0,0,0,0
916,Vincenzo Fiorillo,it ITA,GK,Salernitana,it Serie A,32,1990,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
917,Roberto Firmino,br BRA,"FW,MF",Liverpool,eng Premier League,30,1991,25,13,"1,213",13.5,0.82,0.30,1.11,0.82,0,0,0,0
918,Junior Firpo,es ESP,DF,Leeds United,eng Premier League,25,1996,19,14,"1,368",15.2,0.07,0.07,0.13,0.07,0,0,6,1
919,Kilian Fischer,de GER,"DF,FW",Wolfsburg,de Bundesliga,21,2000,10,5,502,5.6,0.00,0.00,0.00,0.00,0,0,2,0
920,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,29,1993,34,34,"3,060",34.0,0.00,0.00,0.00,0.00,0,0,0,0
921,Florian Flick,de GER,MF,Schalke 04,de Bundesliga,22,2000,8,5,512,5.7,0.00,0.00,0.00,0.00,0,0,1,0
922,Alexis Flips,fr FRA,"FW,MF",Reims,fr Ligue 1,22,2000,33,28,"1,978",22.0,0.18,0.27,0.46,0.18,0,0,3,1
923,Alessandro Florenzi,it ITA,DF,Milan,it Serie A,31,1991,6,2,203,2.3,0.00,0.00,0.00,0.00,0,0,1,0
924,Phil Foden,eng ENG,FW,Manchester City,eng Premier League,22,2000,32,22,"1,842",20.5,0.54,0.29,0.83,0.54,0,0,1,0
925,Seko Fofana,ci CIV,MF,Lens,fr Ligue 1,27,1995,35,34,"3,073",34.1,0.21,0.15,0.35,0.18,1,2,2,0
926,Wesley Fofana,fr FRA,DF,Leicester City,eng Premier League,21,2000,2,2,180,2.0,0.00,0.00,0.00,0.00,0,0,1,0
927,Wesley Fofana,fr FRA,DF,Chelsea,eng Premier League,21,2000,15,12,"1,183",13.1,0.08,0.00,0.08,0.08,0,0,3,0
928,Yahia Fofana,fr FRA,GK,Angers,fr Ligue 1,21,2000,11,11,990,11.0,0.00,0.00,0.00,0.00,0,0,2,0
929,Youssouf Fofana,fr FRA,MF,Monaco,fr Ligue 1,23,1999,36,35,"3,086",34.3,0.06,0.06,0.12,0.06,0,0,4,2
930,Thomas Foket,be BEL,DF,Reims,fr Ligue 1,27,1994,24,23,"1,976",22.0,0.00,0.05,0.05,0.00,0,0,0,0
931,José Fonte,pt POR,DF,Lille,fr Ligue 1,38,1983,31,30,"2,592",28.8,0.03,0.00,0.03,0.03,0,0,7,0
932,Pablo Fornals,es ESP,"FW,MF",West Ham,eng Premier League,26,1996,32,17,"1,503",16.7,0.18,0.06,0.24,0.18,0,0,0,0
933,Emil Forsberg,se SWE,"MF,FW",RB Leipzig,de Bundesliga,30,1991,30,16,"1,482",16.5,0.36,0.24,0.61,0.24,2,2,2,0
934,Adam Forshaw,eng ENG,MF,Leeds United,eng Premier League,30,1991,12,5,479,5.3,0.00,0.00,0.00,0.00,0,0,0,0
935,Fraser Forster,eng ENG,GK,Tottenham,eng Premier League,34,1988,14,13,"1,215",13.5,0.00,0.00,0.00,0.00,0,0,1,0
936,Philipp Förster,de GER,MF,Bochum,de Bundesliga,27,1995,25,15,"1,309",14.5,0.21,0.48,0.69,0.21,0,0,4,0
937,Steven Fortes,cv CPV,DF,Lens,fr Ligue 1,30,1992,1,0,7,0.1,0.00,0.00,0.00,0.00,0,0,0,0
938,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,24,1998,11,1,191,2.1,0.00,0.00,0.00,0.00,0,0,1,0
939,Dimitri Foulquier,fr FRA,DF,Valencia,es La Liga,29,1993,30,17,"1,738",19.3,0.00,0.10,0.10,0.00,0,0,4,0
940,Juan Foyth,ar ARG,DF,Villarreal,es La Liga,24,1998,24,22,"1,958",21.8,0.05,0.00,0.05,0.05,0,0,6,0
941,Raphael Framberger,de GER,"DF,FW",Augsburg,de Bundesliga,26,1995,3,2,176,2.0,0.00,0.00,0.00,0.00,0,0,0,0
942,Tyrese Francois,au AUS,FW,Fulham,eng Premier League,22,2000,1,0,1,0.0,0.00,0.00,0.00,0.00,0,0,0,0
943,Bartol Franjić,hr CRO,MF,Wolfsburg,de Bundesliga,22,2000,5,3,227,2.5,0.00,0.40,0.40,0.00,0,0,0,0
944,Przemysław Frankowski,pl POL,"DF,MF",Lens,fr Ligue 1,27,1995,37,31,"2,833",31.5,0.16,0.10,0.25,0.06,3,3,4,0
945,Ryan Fraser,sct SCO,FW,Newcastle Utd,eng Premier League,28,1994,8,3,313,3.5,0.00,0.00,0.00,0.00,0,0,1,0
946,Davide Frattesi,it ITA,MF,Sassuolo,it Serie A,22,1999,36,35,"2,873",31.9,0.22,0.00,0.22,0.22,0,0,4,0
947,Oscar Fraulo,dk DEN,"FW,MF",M'Gladbach,de Bundesliga,18,2003,2,0,8,0.1,0.00,0.00,0.00,0.00,0,0,0,0
948,Fred,br BRA,MF,Manchester Utd,eng Premier League,29,1993,35,12,"1,249",13.9,0.14,0.14,0.29,0.14,0,0,6,0
949,Ryan Fredericks,eng ENG,DF,Bournemouth,eng Premier League,29,1992,12,5,533,5.9,0.00,0.00,0.00,0.00,0,0,1,0
950,Iván Fresneda,es ESP,DF,Valladolid,es La Liga,17,2004,22,18,"1,743",19.4,0.00,0.00,0.00,0.00,0,0,3,0
951,Remo Freuler,ch SUI,MF,Nott'ham Forest,eng Premier League,30,1992,28,24,"2,161",24.0,0.00,0.00,0.00,0.00,0,0,4,0
952,Michael Frey,ch SUI,FW,Schalke 04,de Bundesliga,28,1994,15,10,868,9.6,0.00,0.31,0.31,0.00,0,0,2,0
953,Marco Friedl,at AUT,DF,Werder Bremen,de Bundesliga,24,1998,30,30,"2,594",28.8,0.00,0.00,0.00,0.00,0,0,8,1
954,Marvin Friedrich,de GER,DF,M'Gladbach,de Bundesliga,26,1995,23,13,"1,248",13.9,0.07,0.00,0.07,0.07,0,0,2,0
955,Jeremie Frimpong,nl NED,"DF,MF",Leverkusen,de Bundesliga,21,2000,34,32,"2,708",30.1,0.27,0.23,0.50,0.27,0,0,4,0
956,Chris Führich,de GER,"FW,MF",Stuttgart,de Bundesliga,24,1998,33,21,"1,884",20.9,0.24,0.10,0.33,0.19,1,1,2,0
957,Angelo Fulgini,fr FRA,"MF,FW",Lens,fr Ligue 1,25,1996,17,12,858,9.5,0.10,0.10,0.21,0.10,0,0,0,0
958,Angelo Fulgini,fr FRA,MF,Mainz 05,de Bundesliga,25,1996,16,5,525,5.8,0.00,0.17,0.17,0.00,0,0,1,0
959,Niclas Füllkrug,de GER,FW,Werder Bremen,de Bundesliga,29,1993,28,28,"2,477",27.5,0.58,0.18,0.76,0.40,5,5,4,0
960,Matteo Gabbia,it ITA,DF,Milan,it Serie A,22,1999,12,6,613,6.8,0.00,0.00,0.00,0.00,0,0,2,0
961,Manolo Gabbiadini,it ITA,"FW,MF",Sampdoria,it Serie A,30,1991,35,27,"2,354",26.2,0.27,0.08,0.34,0.27,0,0,6,0
962,Gianluca Gaetano,it ITA,MF,Napoli,it Serie A,22,2000,8,0,76,0.8,1.18,1.18,2.37,1.18,0,0,0,0
963,Roberto Gagliardini,it ITA,MF,Inter,it Serie A,28,1994,19,7,783,8.7,0.00,0.00,0.00,0.00,0,0,5,1
964,Adolfo Gaich,ar ARG,FW,Hellas Verona,it Serie A,23,1999,16,8,726,8.1,0.25,0.00,0.25,0.25,0,0,2,0
965,Cody Gakpo,nl NED,"FW,MF",Liverpool,eng Premier League,23,1999,21,17,"1,458",16.2,0.43,0.12,0.56,0.43,0,0,0,0
966,Javi Galán,es ESP,DF,Celta Vigo,es La Liga,27,1994,37,36,"3,160",35.1,0.00,0.09,0.09,0.00,0,0,6,0
967,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,es La Liga,28,1993,30,28,"2,449",27.2,0.00,0.04,0.04,0.00,0,0,12,0
968,Pablo Galdames Millán,cl CHI,MF,Cremonese,it Serie A,25,1996,13,10,734,8.2,0.12,0.25,0.37,0.12,0,0,2,0
969,Conor Gallagher,eng ENG,MF,Chelsea,eng Premier League,22,2000,35,18,"1,621",18.0,0.17,0.06,0.22,0.17,0,0,11,1
970,Antonino Gallo,it ITA,DF,Lecce,it Serie A,22,2000,32,28,"2,486",27.6,0.00,0.04,0.04,0.00,0,0,5,1
971,Gauthier Gallon,fr FRA,GK,Troyes,fr Ligue 1,29,1993,30,30,"2,667",29.6,0.00,0.00,0.00,0.00,0,0,3,1
972,Cristian Gamboa,cr CRC,DF,Bochum,de Bundesliga,32,1989,19,17,"1,477",16.4,0.00,0.00,0.00,0.00,0,0,2,0
973,Kévin Gameiro,fr FRA,FW,Strasbourg,fr Ligue 1,35,1987,34,23,"2,098",23.3,0.43,0.00,0.43,0.39,1,2,1,1
974,Idrissa Gana Gueye,sn SEN,MF,Everton,eng Premier League,32,1989,33,32,"2,577",28.6,0.00,0.03,0.03,0.00,0,0,7,0
975,Ignatius Ganago,cm CMR,"FW,MF",Nantes,fr Ligue 1,23,1999,28,16,"1,520",16.9,0.30,0.18,0.47,0.30,0,0,0,0
976,Ignatius Ganago,cm CMR,FW,Lens,fr Ligue 1,23,1999,4,0,59,0.7,0.00,0.00,0.00,0.00,0,0,0,0
977,Silvère Ganvoula M'Boussy,cg CGO,"FW,MF",Bochum,de Bundesliga,26,1996,16,0,247,2.7,0.00,0.00,0.00,0.00,0,0,1,0
978,Aleix García,es ESP,MF,Girona,es La Liga,25,1997,30,26,"2,337",26.0,0.04,0.19,0.23,0.04,0,0,1,0
979,Álvaro García,es ESP,"FW,MF",Rayo Vallecano,es La Liga,29,1992,35,34,"2,870",31.9,0.16,0.16,0.31,0.16,0,0,7,0
980,Borja García,es ESP,"MF,FW",Girona,es La Liga,31,1990,11,10,679,7.5,0.13,0.00,0.13,0.13,0,0,1,0
981,Carlos García,es ESP,DF,Cádiz,es La Liga,22,2000,1,0,25,0.3,0.00,3.60,3.60,0.00,0,0,0,0
982,Dani García,es ESP,MF,Athletic Club,es La Liga,32,1990,25,18,"1,485",16.5,0.00,0.12,0.12,0.00,0,0,6,0
983,David García,es ESP,DF,Osasuna,es La Liga,28,1994,32,31,"2,680",29.8,0.07,0.00,0.07,0.07,0,0,8,1
984,Eric García,es ESP,"DF,MF",Barcelona,es La Liga,21,2001,24,15,"1,417",15.7,0.06,0.00,0.06,0.06,0,0,3,0
985,Fran Garcia,es ESP,DF,Rayo Vallecano,es La Liga,22,1999,38,38,"3,407",37.9,0.05,0.08,0.13,0.05,0,0,1,0
986,Joan García,es ESP,GK,Espanyol,es La Liga,21,2001,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
987,Raúl García,es ESP,"FW,MF",Athletic Club,es La Liga,36,1986,35,6,967,10.7,0.19,0.28,0.47,0.19,0,0,4,0
988,Rubén García,es ESP,"FW,MF",Osasuna,es La Liga,29,1993,29,11,"1,159",12.9,0.16,0.16,0.31,0.16,0,0,2,0
989,Unai García,es ESP,DF,Osasuna,es La Liga,30,1992,21,20,"1,713",19.0,0.00,0.05,0.05,0.00,0,0,6,1
990,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,eng Premier League,18,2004,19,5,569,6.3,0.47,0.32,0.79,0.47,0,0,3,0
991,James Garner,eng ENG,"MF,DF",Everton,eng Premier League,21,2001,16,7,804,8.9,0.00,0.11,0.11,0.00,0,0,3,0
992,Felix Garreta,es ESP,DF,Betis,es La Liga,18,2004,1,1,90,1.0,0.00,0.00,0.00,0.00,0,0,0,0
993,Aleix Garrido,es ESP,FW,Barcelona,es La Liga,18,2004,1,0,7,0.1,0.00,0.00,0.00,0.00,0,0,0,0
994,Sékou Gassama,sn SEN,FW,Valladolid,es La Liga,27,1995,1,0,36,0.4,0.00,0.00,0.00,0.00,0,0,0,0
995,Johan Gastien,fr FRA,MF,Clermont Foot,fr Ligue 1,34,1988,31,29,"2,603",28.9,0.14,0.10,0.24,0.14,0,0,7,0
996,Federico Gatti,it ITA,DF,Juventus,it Serie A,24,1998,18,16,"1,448",16.1,0.00,0.00,0.00,0.00,0,0,4,0
997,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,17,2004,36,30,"2,531",28.1,0.07,0.14,0.21,0.07,0,0,10,0
998,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,30,1992,28,28,"2,520",28.0,0.00,0.00,0.00,0.00,0,0,4,0
999,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,31,1990,38,38,"3,420",38.0,0.00,0.00,0.00,0.00,0,0,0,0
1000,Dario Gebuhr,de GER,DF,Eint Frankfurt,de Bundesliga,19,2003,1,0,21,0.2,0.00,0.00,0.00,0.00,0,0,0,0
1001,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,24,1998,27,27,"1,952",21.7,0.05,0.14,0.18,0.05,0,0,9,0
1002,Joe Gelhardt,eng ENG,FW,Leeds United,eng Premier League,20,2002,15,1,212,2.4,0.00,0.85,0.85,0.00,0,0,1,0
1003,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,22,2000,37,35,"3,101",34.5,0.00,0.06,0.06,0.00,0,0,4,0
1004,Denis Genreau,au AUS,MF,Toulouse,fr Ligue 1,23,1999,20,7,657,7.3,0.00,0.14,0.14,0.00,0,0,3,0
1005,Yannick Gerhardt,de GER,MF,Wolfsburg,de Bundesliga,28,1994,29,22,"1,866",20.7,0.29,0.19,0.48,0.29,0,0,3,0
1006,Valère Germain,fr FRA,"FW,MF",Montpellier,fr Ligue 1,32,1990,31,5,688,7.6,0.26,0.00,0.26,0.26,0,0,1,1
1007,Gerson,br BRA,MF,Marseille,fr Ligue 1,25,1997,10,6,417,4.6,0.43,0.00,0.43,0.43,0,0,1,0
1008,Ismaël Gharbi,es ESP,"MF,FW",Paris S-G,fr Ligue 1,18,2004,6,0,58,0.6,0.00,0.00,0.00,0.00,0,0,1,0
